subset,composition,runs,strength,avg_key,avg_pct_under,best_pct_under,median_pct_under,key_slope,ref_key,best_time_s,best_dungeon,best_key,best_date,median_time_s,avg_deaths_per_run,timed_pct
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,800,6.21,9.6,16.6,61.3,17.6,-3.752,8.45,697.0,Voidscar Arena,5,2026-08-19,1528.0,6.52,85.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Elemental Shaman | D:Arms Warrior,224,6.95,9.1,21.1,60.9,21.0,-3.752,8.45,774.0,Kings' Rest,2,2026-08-19,1439.0,5.18,92.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,219,0.92,8.8,17.1,60.0,17.2,-3.752,8.45,768.0,Temple of Sethraliss,2,2026-08-19,1557.0,6.16,87.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,211,6.13,9.7,15.6,56.8,16.6,-3.752,8.45,778.0,Voidscar Arena,2,2026-08-19,1565.0,6.14,86.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Demonology Warlock | D:Arms Warrior,200,3.59,9.4,15.3,50.8,18.0,-3.752,8.45,975.0,Kings' Rest,2,2026-08-19,1534.0,7.1,86.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Retribution Paladin | D:Elemental Shaman | D:Arms Warrior,195,2.55,9.3,15.6,57.5,17.0,-3.752,8.45,765.0,The Blinding Vale,2,2026-08-20,1532.0,5.93,87.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Shadow Priest | D:Arms Warrior,184,3.68,9.1,17.8,59.2,18.6,-3.752,8.45,809.0,Kings' Rest,2,2026-08-20,1532.0,5.68,88.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,184,1.87,8.6,20.0,57.4,19.4,-3.752,8.45,843.0,Kings' Rest,2,2026-08-18,1504.0,5.71,88.6
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,174,6.06,9.8,15.4,54.7,18.4,-3.752,8.45,816.0,The Blinding Vale,2,2026-08-19,1548.0,6.6,82.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,171,3.85,8.7,21.1,59.4,21.5,-3.752,8.45,804.0,Kings' Rest,2,2026-08-19,1486.0,5.87,93.6
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Subtlety Rogue | D:Arms Warrior,168,5.99,9.5,17.5,59.4,20.2,-3.752,8.45,682.0,Ruby Life Pools,2,2026-08-19,1532.0,6.93,88.7
all,T:Protection Paladin | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,166,1.59,8.8,17.8,56.9,17.5,-3.752,8.45,775.0,Altar of Fangs,2,2026-08-19,1546.0,5.69,86.1
all,T:Protection Paladin | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,157,3.94,8.8,20.6,63.0,20.8,-3.752,8.45,622.0,Ruby Life Pools,2,2026-08-19,1477.0,4.45,91.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Elemental Shaman | D:Arms Warrior,155,7.16,9.7,17.2,60.8,17.7,-3.752,8.45,775.0,Kings' Rest,2,2026-08-19,1535.0,5.3,89.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,155,5.27,9.1,19.9,57.2,20.4,-3.752,8.45,719.0,Ruby Life Pools,2,2026-08-19,1504.0,5.26,91.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Subtlety Rogue | D:Arms Warrior,153,6.28,9.4,18.0,53.7,19.7,-3.752,8.45,777.0,Ruby Life Pools,2,2026-08-18,1497.0,5.69,89.5
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,151,-0.6,9.0,14.6,51.0,15.8,-3.752,8.45,883.0,Altar of Fangs,2,2026-08-18,1588.0,8.22,80.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Elemental Shaman,148,3.84,9.4,15.9,55.4,16.3,-3.752,8.45,802.0,Voidscar Arena,2,2026-08-19,1567.0,6.29,85.8
all,T:Protection Paladin | H:Restoration Shaman | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,144,4.48,9.2,18.0,58.5,20.0,-3.752,8.45,822.0,Kings' Rest,2,2026-08-19,1537.0,5.03,88.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,141,7.12,9.7,17.0,56.7,18.3,-3.752,8.45,883.0,Murder Row,2,2026-08-20,1559.0,6.76,85.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Retribution Paladin | D:Arms Warrior,141,4.05,8.9,19.6,56.6,21.0,-3.752,8.45,833.0,Temple of Sethraliss,2,2026-08-19,1491.0,4.83,91.5
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,141,-1.92,8.1,19.7,49.9,17.9,-3.752,8.45,901.0,Voidscar Arena,2,2026-08-19,1508.0,5.26,89.4
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Elemental Shaman | D:Arms Warrior,140,1.65,8.9,17.0,55.0,17.6,-3.752,8.45,756.0,Ruby Life Pools,2,2026-08-19,1532.0,6.63,85.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Retribution Paladin,134,0.65,8.8,17.3,49.7,16.8,-3.752,8.45,905.0,Altar of Fangs,5,2026-08-19,1518.0,5.31,89.6
all,T:Protection Paladin | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,132,-0.13,8.8,16.5,55.7,17.6,-3.752,8.45,878.0,Kings' Rest,5,2026-08-19,1558.0,6.21,86.4
all,T:Protection Paladin | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,129,8.02,9.4,20.5,52.3,22.7,-3.752,8.45,944.0,Kings' Rest,5,2026-08-19,1482.0,4.08,89.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Subtlety Rogue | D:Elemental Shaman,128,5.96,9.7,16.0,51.7,17.4,-3.752,8.45,986.0,Murder Row,2,2026-08-20,1528.0,5.8,86.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Assassination Rogue | D:Elemental Shaman,128,2.61,9.3,15.1,55.9,16.9,-3.752,8.45,740.0,Ruby Life Pools,2,2026-08-19,1564.0,6.8,91.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Retribution Paladin,127,0.68,8.6,18.5,54.0,16.5,-3.752,8.45,828.0,Voidscar Arena,2,2026-08-19,1540.0,5.43,89.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Retribution Paladin | D:Arms Warrior,126,3.76,9.0,18.7,61.2,20.2,-3.752,8.45,651.0,Ruby Life Pools,5,2026-08-19,1490.0,5.63,89.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Retribution Paladin,125,2.31,8.4,22.0,57.6,22.4,-3.752,8.45,763.0,Voidscar Arena,2,2026-08-20,1472.0,4.17,92.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Outlaw Rogue | D:Arms Warrior,123,8.25,9.5,19.6,56.3,19.3,-3.752,8.45,786.0,The Blinding Vale,5,2026-08-19,1484.0,5.16,91.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Subtlety Rogue | D:Elemental Shaman | D:Arms Warrior,122,9.55,9.4,21.7,54.2,23.8,-3.752,8.45,825.0,Altar of Fangs,5,2026-08-20,1419.0,5.17,90.2
all,T:Protection Paladin | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,120,1.62,9.2,15.2,49.8,16.2,-3.752,8.45,903.0,Altar of Fangs,2,2026-08-19,1588.0,6.12,85.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Subtlety Rogue | D:Arms Warrior,119,8.59,9.4,20.6,54.3,20.0,-3.752,8.45,905.0,Kings' Rest,2,2026-08-19,1494.0,5.75,94.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Retribution Paladin,119,1.26,8.9,17.0,55.7,18.3,-3.752,8.45,744.0,Ruby Life Pools,5,2026-08-18,1523.0,6.63,87.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Devourer DemonHunter | D:Arcane Mage,118,9.39,10.1,16.4,53.2,15.7,-3.752,8.45,843.0,The Blinding Vale,2,2026-08-19,1560.0,5.55,84.7
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Elemental Shaman,118,-1.38,8.2,19.8,57.9,21.3,-3.752,8.45,707.0,Ruby Life Pools,2,2026-08-19,1468.0,5.4,92.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Windwalker Monk | D:Elemental Shaman | D:Arms Warrior,117,3.75,8.6,21.8,55.6,21.2,-3.752,8.45,745.0,Ruby Life Pools,2,2026-08-19,1461.0,5.22,93.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Balance Druid | D:Arcane Mage,117,2.86,9.6,13.5,51.4,14.9,-3.752,8.45,934.0,Temple of Sethraliss,5,2026-08-18,1634.0,5.02,82.1
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Retribution Paladin | D:Arms Warrior,115,6.49,9.4,18.7,58.6,19.5,-3.752,8.45,696.0,Ruby Life Pools,2,2026-08-19,1524.0,5.3,91.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Retribution Paladin,115,5.82,9.2,19.4,57.7,17.9,-3.752,8.45,762.0,Voidscar Arena,2,2026-08-19,1540.0,4.51,97.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Demonology Warlock,114,3.13,9.4,15.5,53.8,15.4,-3.752,8.45,831.0,Voidscar Arena,2,2026-08-19,1570.0,6.67,86.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Demonology Warlock | D:Arms Warrior,114,2.24,8.9,18.3,50.3,16.6,-3.752,8.45,836.0,Ruby Life Pools,5,2026-08-18,1550.0,7.09,88.6
all,T:Guardian Druid | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,113,5.1,9.6,15.7,55.5,16.4,-3.752,8.45,908.0,Murder Row,2,2026-08-19,1544.0,5.28,86.7
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Retribution Paladin | D:Arms Warrior,113,0.47,8.6,18.6,53.3,20.7,-3.752,8.45,841.0,The Blinding Vale,2,2026-08-18,1518.0,6.24,91.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Outlaw Rogue | D:Arms Warrior,110,2.22,9.4,14.5,47.9,18.2,-3.752,8.45,875.0,Ruby Life Pools,2,2026-08-20,1538.0,5.75,80.9
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,108,6.4,9.1,20.7,58.6,21.4,-3.752,8.45,845.0,Murder Row,2,2026-08-20,1448.0,7.32,93.5
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,108,5.0,8.8,22.0,61.7,21.2,-3.752,8.45,644.0,Ruby Life Pools,2,2026-08-19,1446.0,4.82,94.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Enhancement Shaman | D:Arms Warrior,108,3.6,8.6,21.5,54.8,20.6,-3.752,8.45,759.0,Ruby Life Pools,2,2026-08-19,1482.0,5.13,93.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Assassination Rogue | D:Arms Warrior,108,1.89,9.2,15.0,55.5,17.8,-3.752,8.45,801.0,The Blinding Vale,2,2026-08-19,1546.0,7.69,83.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Retribution Paladin | D:Arms Warrior,107,5.9,9.3,19.0,55.7,20.3,-3.752,8.45,744.0,Ruby Life Pools,5,2026-08-19,1478.0,5.86,88.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Shadow Priest | D:Arms Warrior,107,4.01,9.2,17.6,54.1,17.9,-3.752,8.45,909.0,Kings' Rest,2,2026-08-19,1518.0,6.15,88.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Havoc DemonHunter | D:Arcane Mage | D:Arms Warrior,107,2.14,9.1,16.7,51.2,19.6,-3.752,8.45,878.0,The Blinding Vale,2,2026-08-19,1487.0,6.2,90.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Retribution Paladin | D:Arms Warrior,106,6.42,9.0,21.6,57.4,21.0,-3.752,8.45,843.0,Kings' Rest,2,2026-08-19,1503.0,4.62,94.3
all,T:Protection Paladin | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,106,1.73,8.1,23.4,54.4,24.0,-3.752,8.45,820.0,Altar of Fangs,2,2026-08-19,1407.0,4.42,91.5
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Outlaw Rogue | D:Arms Warrior,103,8.64,9.4,20.9,55.6,20.1,-3.752,8.45,905.0,Murder Row,2,2026-08-18,1491.0,4.62,93.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Demonology Warlock,103,8.01,9.8,17.3,55.6,18.4,-3.752,8.45,799.0,Voidscar Arena,4,2026-08-20,1526.0,6.34,89.3
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Destruction Warlock | D:Arms Warrior,102,0.54,8.8,16.9,57.1,17.2,-3.752,8.45,876.0,Murder Row,2,2026-08-19,1515.0,6.7,86.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Balance Druid | D:Arms Warrior,101,9.04,9.8,18.7,48.9,21.4,-3.752,8.45,919.0,Altar of Fangs,2,2026-08-20,1449.0,6.39,89.1
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,101,-0.17,9.2,13.0,57.6,12.0,-3.752,8.45,764.0,Altar of Fangs,2,2026-08-19,1584.0,6.7,82.2
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Retribution Paladin,101,-3.0,8.8,13.5,52.7,15.6,-3.752,8.45,937.0,Kings' Rest,2,2026-08-19,1555.0,6.31,82.2
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Assassination Rogue | D:Arms Warrior,100,9.79,9.7,19.8,50.9,21.1,-3.752,8.45,1003.0,Murder Row,2,2026-08-20,1502.0,4.77,95.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Elemental Shaman | D:Arms Warrior,100,4.45,8.9,20.0,55.8,21.4,-3.752,8.45,901.0,Murder Row,2,2026-08-19,1466.0,5.47,93.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Shadow Priest,100,2.37,8.8,19.2,51.6,19.2,-3.752,8.45,958.0,Kings' Rest,2,2026-08-19,1483.0,3.94,88.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Marksmanship Hunter | D:Arcane Mage | D:Arms Warrior,100,1.57,8.7,18.5,48.7,20.7,-3.752,8.45,924.0,The Blinding Vale,5,2026-08-19,1482.0,5.98,87.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:BeastMastery Hunter | D:Arcane Mage,100,-2.57,8.6,15.0,55.7,17.2,-3.752,8.45,798.0,The Blinding Vale,2,2026-08-19,1580.0,7.71,83.0
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,99,-1.01,8.2,19.7,58.4,22.7,-3.752,8.45,699.0,Ruby Life Pools,2,2026-08-19,1458.0,5.77,85.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Arms Warrior | D:Arms Warrior,98,4.11,9.2,17.6,52.2,20.2,-3.752,8.45,946.0,Kings' Rest,2,2026-08-19,1524.0,6.28,86.7
all,T:Blood DeathKnight | H:Discipline Priest | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,98,1.63,8.4,21.2,59.9,21.4,-3.752,8.45,673.0,Ruby Life Pools,2,2026-08-19,1488.0,5.89,87.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Retribution Paladin,98,0.68,8.9,16.2,54.0,16.6,-3.752,8.45,829.0,The Blinding Vale,2,2026-08-18,1565.0,5.58,84.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Demonology Warlock,98,-1.5,7.9,21.5,53.5,22.6,-3.752,8.45,838.0,The Blinding Vale,2,2026-08-19,1452.0,5.74,89.8
all,T:Protection Paladin | H:Holy Paladin | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,98,-2.95,8.1,18.7,52.0,18.8,-3.752,8.45,980.0,Murder Row,2,2026-08-19,1484.0,4.48,87.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Elemental Shaman | D:Arms Warrior,96,6.3,9.7,16.2,52.5,17.2,-3.752,8.45,941.0,Kings' Rest,2,2026-08-19,1544.0,5.58,87.5
all,T:Protection Paladin | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,96,3.5,9.2,17.2,54.4,20.0,-3.752,8.45,820.0,The Blinding Vale,5,2026-08-19,1482.0,5.34,81.2
all,T:Blood DeathKnight | H:Preservation Evoker | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,94,2.95,8.9,18.8,58.5,20.9,-3.752,8.45,821.0,Kings' Rest,2,2026-08-19,1480.0,7.99,88.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Outlaw Rogue | D:Arms Warrior,94,0.82,8.5,19.5,58.1,20.6,-3.752,8.45,704.0,Ruby Life Pools,2,2026-08-18,1510.0,5.07,84.0
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,93,1.62,9.0,16.7,54.1,19.6,-3.752,8.45,825.0,The Blinding Vale,2,2026-08-19,1518.0,5.81,89.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Elemental Shaman | D:Demonology Warlock | D:Arms Warrior,92,-0.12,9.2,13.5,50.0,15.4,-3.752,8.45,900.0,Voidscar Arena,2,2026-08-19,1555.0,7.71,83.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:BeastMastery Hunter | D:Arcane Mage,92,-3.21,7.9,19.4,55.2,20.6,-3.752,8.45,807.0,Voidscar Arena,2,2026-08-19,1520.0,5.3,90.2
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,91,3.86,9.0,18.9,55.6,17.2,-3.752,8.45,745.0,Ruby Life Pools,2,2026-08-20,1535.0,6.89,85.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Havoc DemonHunter | D:Arcane Mage | D:Elemental Shaman,90,3.88,9.7,13.4,47.2,13.6,-3.752,8.45,1013.0,Den of Nalorakk,5,2026-08-19,1606.0,6.61,81.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:BeastMastery Hunter | D:Arms Warrior,90,1.84,9.1,16.3,47.2,20.4,-3.752,8.45,950.0,The Blinding Vale,2,2026-08-19,1524.0,6.27,85.6
all,T:Protection Paladin | H:Restoration Shaman | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,89,3.53,9.0,18.8,53.2,19.5,-3.752,8.45,842.0,Voidscar Arena,4,2026-08-19,1505.0,4.91,89.9
all,T:Blood DeathKnight | H:Discipline Priest | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,89,3.28,9.1,17.7,59.3,17.0,-3.752,8.45,830.0,Murder Row,5,2026-08-20,1526.0,7.33,91.0
all,T:Protection Paladin | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,88,0.04,9.1,14.5,60.3,14.2,-3.752,8.45,714.0,Voidscar Arena,2,2026-08-20,1602.0,6.97,83.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Windwalker Monk,88,-0.92,8.9,14.4,53.3,16.1,-3.752,8.45,841.0,The Blinding Vale,2,2026-08-18,1565.0,6.89,81.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Subtlety Rogue | D:Arms Warrior,87,9.63,9.5,21.6,61.7,20.3,-3.752,8.45,689.0,The Blinding Vale,2,2026-08-20,1462.0,4.34,94.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Demonology Warlock,87,3.51,9.0,18.2,48.7,19.2,-3.752,8.45,862.0,Ruby Life Pools,2,2026-08-19,1532.0,5.85,92.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Windwalker Monk | D:Arms Warrior,87,3.4,8.8,20.3,58.6,23.6,-3.752,8.45,846.0,Murder Row,2,2026-08-19,1467.0,6.46,93.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Arcane Mage | D:Elemental Shaman,87,-5.52,8.0,16.5,54.1,16.6,-3.752,8.45,826.0,The Blinding Vale,5,2026-08-19,1559.0,7.28,87.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Shadow Priest,85,7.64,9.8,16.9,50.8,19.4,-3.752,8.45,975.0,Kings' Rest,6,2026-08-20,1560.0,6.12,85.9
all,T:Blood DeathKnight | H:Discipline Priest | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,85,-2.5,8.3,17.2,49.0,18.8,-3.752,8.45,918.0,The Blinding Vale,2,2026-08-19,1515.0,6.12,87.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Shadow Priest,83,5.21,9.6,16.0,52.6,20.2,-3.752,8.45,966.0,Murder Row,2,2026-08-19,1513.0,6.05,86.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Outlaw Rogue | D:Elemental Shaman | D:Arms Warrior,82,7.27,9.6,18.3,50.6,19.8,-3.752,8.45,889.0,Voidscar Arena,5,2026-08-19,1552.0,5.6,93.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Windwalker Monk | D:Arms Warrior,82,5.6,9.3,18.7,48.6,22.4,-3.752,8.45,926.0,The Blinding Vale,2,2026-08-18,1442.0,6.52,92.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Arcane Mage | D:Retribution Paladin,82,2.55,9.6,13.1,39.1,14.4,-3.752,8.45,1022.0,Ruby Life Pools,6,2026-08-19,1588.0,6.37,86.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Shadow Priest | D:Elemental Shaman,81,4.55,9.1,18.9,50.2,19.0,-3.752,8.45,837.0,Ruby Life Pools,5,2026-08-20,1483.0,5.05,91.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:BeastMastery Hunter | D:Arcane Mage,81,-0.28,8.4,18.9,54.8,17.3,-3.752,8.45,896.0,Kings' Rest,2,2026-08-18,1502.0,5.28,91.4
all,T:Protection Paladin | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,81,-1.89,8.0,20.0,55.4,21.0,-3.752,8.45,750.0,Ruby Life Pools,5,2026-08-19,1448.0,5.15,87.7
all,T:Protection Paladin | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Elemental Shaman,80,9.3,9.8,18.6,42.8,20.9,-3.752,8.45,1099.0,Temple of Sethraliss,4,2026-08-19,1525.0,4.51,90.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Shadow Priest | D:Elemental Shaman | D:Arms Warrior,80,2.96,8.7,20.2,52.0,23.2,-3.752,8.45,807.0,Ruby Life Pools,2,2026-08-18,1490.0,5.55,88.8
