subset,composition,runs,strength,avg_key,avg_pct_under,best_pct_under,median_pct_under,key_slope,ref_key,best_time_s,best_dungeon,best_key,best_date,median_time_s,avg_deaths_per_run,timed_pct
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,162,2.46,9.2,21.4,55.1,23.0,-3.82,8.8,808.0,Voidscar Arena,2,2026-08-20,1380.0,5.24,88.3
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,47,1.05,9.0,21.3,52.8,21.7,-3.82,8.8,792.0,Ruby Life Pools,3,2026-08-20,1487.0,5.57,89.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Subtlety Rogue | D:Elemental Shaman | D:Arms Warrior,46,10.1,9.5,27.5,51.2,28.5,-3.82,8.8,937.0,Temple of Sethraliss,3,2026-08-20,1297.0,3.28,95.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,46,1.99,8.8,23.6,54.1,20.5,-3.82,8.8,771.0,Ruby Life Pools,2,2026-08-18,1520.0,5.65,100.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Subtlety Rogue | D:Arms Warrior,45,6.75,9.7,22.2,45.8,21.9,-3.82,8.8,975.0,Altar of Fangs,5,2026-08-19,1406.0,3.93,95.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Devourer DemonHunter | D:Arcane Mage,45,5.26,10.2,16.8,51.2,15.0,-3.82,8.8,878.0,Altar of Fangs,2,2026-08-20,1530.0,5.0,84.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Demonology Warlock | D:Arms Warrior,44,4.31,9.7,19.5,47.4,21.9,-3.82,8.8,884.0,Ruby Life Pools,5,2026-08-19,1488.0,5.66,88.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,44,2.92,10.0,15.9,47.0,16.7,-3.82,8.8,1018.0,Den of Nalorakk,5,2026-08-19,1552.0,5.52,90.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,43,1.52,8.7,24.6,51.8,21.4,-3.82,8.8,867.0,Altar of Fangs,2,2026-08-18,1460.0,3.98,97.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Balance Druid | D:Arms Warrior,41,6.87,9.7,22.4,48.9,19.8,-3.82,8.8,919.0,Altar of Fangs,2,2026-08-20,1440.0,4.71,92.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Elemental Shaman | D:Arms Warrior,41,4.07,10.2,15.5,46.5,18.9,-3.82,8.8,1092.0,Murder Row,8,2026-08-19,1565.0,5.39,82.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Retribution Paladin | D:Elemental Shaman | D:Arms Warrior,41,-0.68,8.9,20.2,51.1,22.2,-3.82,8.8,879.0,Altar of Fangs,4,2026-08-19,1476.0,4.39,92.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,39,-0.96,8.9,20.0,60.0,17.8,-3.82,8.8,768.0,Temple of Sethraliss,2,2026-08-19,1486.0,4.72,89.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Subtlety Rogue | D:Arms Warrior,38,10.15,9.9,24.9,54.3,24.0,-3.82,8.8,905.0,Kings' Rest,2,2026-08-19,1363.0,3.53,97.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,37,2.04,9.5,18.9,48.6,21.5,-3.82,8.8,1017.0,Kings' Rest,2,2026-08-18,1471.0,6.19,86.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Shadow Priest | D:Arms Warrior,37,-1.78,9.2,16.4,53.0,16.6,-3.82,8.8,789.0,Ruby Life Pools,2,2026-08-19,1534.0,4.7,83.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Retribution Paladin | D:Arms Warrior,35,4.4,9.1,24.2,45.6,25.5,-3.82,8.8,915.0,Ruby Life Pools,5,2026-08-19,1350.0,4.71,94.3
all,T:Guardian Druid | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,35,2.57,10.3,13.6,44.6,12.6,-3.82,8.8,1063.0,Den of Nalorakk,5,2026-08-19,1632.0,5.03,88.6
all,T:Protection Paladin | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,35,-1.97,9.1,16.9,54.6,19.8,-3.82,8.8,900.0,Kings' Rest,2,2026-08-19,1578.0,6.0,77.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Subtlety Rogue | D:Elemental Shaman,34,5.34,9.9,19.6,41.6,19.5,-3.82,8.8,1051.0,The Blinding Vale,5,2026-08-19,1476.0,5.18,94.1
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Retribution Paladin,33,7.63,10.0,21.6,43.8,22.8,-3.82,8.8,944.0,Ruby Life Pools,4,2026-08-19,1483.0,3.0,100.0
all,T:Protection Paladin | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,33,6.42,9.8,21.2,52.3,21.8,-3.82,8.8,944.0,Kings' Rest,5,2026-08-19,1449.0,3.91,87.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Shadow Priest | D:Arms Warrior,33,4.65,9.2,24.0,53.7,23.3,-3.82,8.8,834.0,The Blinding Vale,5,2026-08-19,1385.0,3.18,93.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Elemental Shaman | D:Arms Warrior,33,2.6,9.1,22.3,53.0,23.3,-3.82,8.8,846.0,The Blinding Vale,2,2026-08-19,1425.0,4.12,97.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Outlaw Rogue | D:Arms Warrior,32,5.46,10.2,17.5,52.6,14.9,-3.82,8.8,938.0,Kings' Rest,4,2026-08-18,1498.0,4.97,87.5
all,T:Protection Paladin | H:Restoration Shaman | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,32,1.19,9.3,19.0,54.4,21.4,-3.82,8.8,876.0,Temple of Sethraliss,5,2026-08-20,1508.0,4.22,84.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Retribution Paladin | D:Arms Warrior,31,1.38,8.8,23.6,43.3,31.1,-3.82,8.8,953.0,Ruby Life Pools,5,2026-08-19,1365.0,4.19,90.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Assassination Rogue | D:Arms Warrior,30,8.4,9.7,24.5,42.6,25.2,-3.82,8.8,1101.0,Temple of Sethraliss,4,2026-08-18,1420.0,3.87,100.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,30,1.83,9.9,15.5,56.6,16.0,-3.82,8.8,782.0,Voidscar Arena,2,2026-08-19,1586.0,5.87,83.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Retribution Paladin | D:Arms Warrior,30,1.74,8.5,25.9,51.5,29.1,-3.82,8.8,814.0,Ruby Life Pools,2,2026-08-19,1367.0,3.47,96.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Windwalker Monk | D:Elemental Shaman | D:Arms Warrior,30,1.15,8.8,22.9,45.8,27.4,-3.82,8.8,1107.0,Murder Row,2,2026-08-19,1324.0,4.73,90.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,30,-1.27,8.4,23.4,48.4,22.6,-3.82,8.8,929.0,Altar of Fangs,2,2026-08-18,1468.0,4.57,90.0
all,T:Blood DeathKnight | H:Discipline Priest | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,30,-1.7,8.6,21.6,51.2,20.4,-3.82,8.8,937.0,Temple of Sethraliss,2,2026-08-19,1481.0,5.7,86.7
all,T:Blood DeathKnight | H:Preservation Evoker | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,29,10.05,9.4,28.6,56.8,30.2,-3.82,8.8,726.0,Ruby Life Pools,5,2026-08-19,1280.0,3.48,96.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Balance Druid | D:Elemental Shaman,29,6.21,11.0,12.3,41.7,10.0,-3.82,8.8,1050.0,The Blinding Vale,6,2026-08-19,1648.0,5.0,93.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Retribution Paladin,29,0.25,8.9,21.4,44.8,22.1,-3.82,8.8,927.0,Ruby Life Pools,7,2026-08-18,1496.0,4.79,93.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:BeastMastery Hunter | D:Arcane Mage,29,-5.37,8.8,15.8,48.3,22.1,-3.82,8.8,930.0,Altar of Fangs,2,2026-08-19,1497.0,7.83,82.8
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,29,-5.66,7.7,23.9,48.1,20.6,-3.82,8.8,934.0,Voidscar Arena,2,2026-08-19,1453.0,4.72,93.1
all,T:Blood DeathKnight | H:Restoration Shaman | D:Retribution Paladin | D:Subtlety Rogue | D:Arms Warrior,28,7.44,10.0,21.1,61.7,17.2,-3.82,8.8,689.0,The Blinding Vale,2,2026-08-20,1486.0,3.93,96.4
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Shadow Priest,28,6.12,10.6,15.5,43.3,16.3,-3.82,8.8,1156.0,Murder Row,8,2026-08-19,1586.0,5.18,89.3
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Assassination Rogue | D:Arms Warrior,28,4.79,9.4,22.9,55.5,24.1,-3.82,8.8,801.0,The Blinding Vale,2,2026-08-19,1426.0,3.04,92.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Elemental Shaman,28,4.01,9.9,18.4,55.4,16.9,-3.82,8.8,802.0,Voidscar Arena,2,2026-08-19,1568.0,4.71,92.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Retribution Paladin | D:Arms Warrior,28,3.25,9.0,24.4,45.7,28.6,-3.82,8.8,912.0,Ruby Life Pools,4,2026-08-18,1385.0,4.25,92.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Retribution Paladin | D:Arms Warrior,28,2.4,9.0,23.1,53.0,20.2,-3.82,8.8,846.0,Voidscar Arena,2,2026-08-18,1470.0,4.61,96.4
all,T:Protection Paladin | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Elemental Shaman,27,5.7,9.8,21.1,42.8,24.4,-3.82,8.8,1099.0,Temple of Sethraliss,4,2026-08-19,1395.0,4.7,92.6
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Retribution Paladin,27,-0.41,7.9,28.3,51.6,28.9,-3.82,8.8,958.0,Kings' Rest,2,2026-08-19,1253.0,2.19,96.3
all,T:Brewmaster Monk | H:Restoration Shaman | D:Feral Druid | D:Outlaw Rogue | D:Arms Warrior,26,23.23,11.9,25.6,49.3,26.2,-3.82,8.8,974.0,Temple of Sethraliss,5,2026-08-19,1346.0,3.08,100.0
all,T:Blood DeathKnight | H:Holy Priest | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,26,11.71,10.7,21.6,44.5,19.0,-3.82,8.8,1065.0,Temple of Sethraliss,10,2026-08-19,1513.0,4.92,96.2
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,26,6.01,10.3,17.4,50.0,18.6,-3.82,8.8,990.0,Kings' Rest,4,2026-08-19,1490.0,7.65,84.6
all,T:Protection Paladin | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,26,4.93,9.9,19.1,48.5,22.8,-3.82,8.8,866.0,Ruby Life Pools,4,2026-08-19,1451.0,3.58,84.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Retribution Paladin,26,-0.65,8.9,20.4,48.6,22.0,-3.82,8.8,986.0,Temple of Sethraliss,5,2026-08-19,1515.0,5.35,92.3
all,T:Protection Paladin | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,26,-1.27,7.8,27.9,47.2,30.5,-3.82,8.8,887.0,Ruby Life Pools,5,2026-08-19,1266.0,2.77,92.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devastation Evoker | D:Arcane Mage | D:Arms Warrior,25,10.21,10.0,25.2,41.1,25.1,-3.82,8.8,1060.0,Voidscar Arena,2,2026-08-20,1380.0,4.56,100.0
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,25,5.02,8.7,28.7,55.2,31.6,-3.82,8.8,752.0,Ruby Life Pools,2,2026-08-19,1214.0,4.96,92.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Windwalker Monk | D:Arms Warrior,25,3.55,9.2,22.7,48.6,26.1,-3.82,8.8,926.0,The Blinding Vale,2,2026-08-18,1341.0,5.2,88.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Feral Druid | D:Retribution Paladin | D:Arms Warrior,24,7.63,10.4,19.0,46.5,16.6,-3.82,8.8,1027.0,Temple of Sethraliss,5,2026-08-19,1554.0,2.71,95.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Havoc DemonHunter | D:Arcane Mage | D:Elemental Shaman,24,5.07,9.5,22.6,47.2,22.2,-3.82,8.8,1013.0,Den of Nalorakk,5,2026-08-19,1429.0,3.88,95.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Subtlety Rogue,24,4.37,8.8,27.1,51.7,27.2,-3.82,8.8,811.0,Ruby Life Pools,3,2026-08-19,1382.0,3.04,91.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Subtlety Rogue,24,3.35,9.5,20.2,43.0,22.6,-3.82,8.8,1162.0,Murder Row,4,2026-08-19,1426.0,2.71,91.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Shadow Priest,24,2.57,9.1,22.7,42.8,21.0,-3.82,8.8,1097.0,Temple of Sethraliss,2,2026-08-19,1434.0,3.25,91.7
all,T:Protection Paladin | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,24,2.22,9.1,22.0,47.2,22.3,-3.82,8.8,888.0,Ruby Life Pools,8,2026-08-19,1426.0,3.79,95.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Elemental Shaman | D:Demonology Warlock | D:Arms Warrior,24,0.82,8.9,21.9,50.0,22.6,-3.82,8.8,900.0,Voidscar Arena,2,2026-08-19,1458.0,4.29,95.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Arcane Mage | D:Retribution Paladin,24,-5.0,8.4,19.0,52.3,15.2,-3.82,8.8,802.0,Ruby Life Pools,2,2026-08-19,1618.0,5.71,91.7
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,23,14.9,10.4,27.4,48.9,30.1,-3.82,8.8,858.0,Ruby Life Pools,8,2026-08-19,1344.0,3.78,95.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Devourer DemonHunter | D:Elemental Shaman,23,8.53,10.4,19.7,54.8,20.7,-3.82,8.8,814.0,Altar of Fangs,2,2026-08-19,1523.0,4.74,91.3
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Subtlety Rogue | D:Arms Warrior,23,7.02,9.8,22.5,53.3,22.9,-3.82,8.8,924.0,Kings' Rest,2,2026-08-18,1493.0,2.17,91.3
all,T:Guardian Druid | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,23,4.01,8.7,27.8,50.1,26.8,-3.82,8.8,839.0,Ruby Life Pools,5,2026-08-19,1326.0,4.09,95.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Enhancement Shaman | D:Arms Warrior,23,2.77,8.0,30.9,53.7,31.9,-3.82,8.8,833.0,Voidscar Arena,2,2026-08-19,1310.0,2.35,100.0
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Elemental Shaman | D:Arms Warrior,23,-0.24,8.7,22.6,54.1,23.5,-3.82,8.8,936.0,Murder Row,2,2026-08-19,1467.0,3.22,91.3
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Shadow Priest | D:Arms Warrior,23,-1.65,8.5,22.2,48.3,21.9,-3.82,8.8,1024.0,Kings' Rest,5,2026-08-19,1426.0,5.57,91.3
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,23,-2.89,7.6,27.7,54.1,28.9,-3.82,8.8,908.0,Kings' Rest,2,2026-08-19,1333.0,3.96,95.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Elemental Shaman,23,-5.04,9.0,14.1,47.0,11.1,-3.82,8.8,955.0,Altar of Fangs,3,2026-08-19,1601.0,6.52,73.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Destruction Warlock | D:Arms Warrior,23,-5.12,8.5,17.7,49.2,17.4,-3.82,8.8,914.0,Voidscar Arena,5,2026-08-18,1562.0,8.26,87.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Windwalker Monk | D:Arms Warrior,22,10.42,9.9,26.5,44.7,26.0,-3.82,8.8,1094.0,Kings' Rest,4,2026-08-18,1354.0,4.18,100.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Unholy DeathKnight | D:Devastation Evoker | D:Arms Warrior,22,8.64,10.8,17.3,32.8,22.4,-3.82,8.8,1290.0,Temple of Sethraliss,10,2026-08-18,1410.0,7.09,86.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Outlaw Rogue | D:Elemental Shaman | D:Arms Warrior,22,7.76,9.8,23.9,50.6,24.4,-3.82,8.8,889.0,Voidscar Arena,5,2026-08-19,1423.0,3.59,100.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Demonology Warlock,22,4.97,9.4,23.6,48.0,24.4,-3.82,8.8,936.0,Voidscar Arena,7,2026-08-19,1328.0,5.68,90.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Marksmanship Hunter | D:Subtlety Rogue | D:Arms Warrior,22,3.71,10.3,15.1,53.0,21.8,-3.82,8.8,846.0,Voidscar Arena,2,2026-08-18,1419.0,9.0,86.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Windwalker Monk,22,2.95,9.5,20.4,52.6,20.2,-3.82,8.8,910.0,Temple of Sethraliss,2,2026-08-18,1424.0,5.27,90.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Destruction Warlock | D:Arms Warrior,22,2.79,9.5,19.5,52.0,18.5,-3.82,8.8,807.0,Ruby Life Pools,2,2026-08-19,1540.0,5.55,95.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:BeastMastery Hunter | D:Arms Warrior,22,1.85,9.1,21.5,46.3,24.1,-3.82,8.8,966.0,Altar of Fangs,2,2026-08-19,1479.0,4.27,86.4
all,T:Blood DeathKnight | H:Mistweaver Monk | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,22,-0.41,8.7,22.2,53.3,21.8,-3.82,8.8,785.0,Ruby Life Pools,2,2026-08-19,1407.0,7.41,90.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Demonology Warlock | D:Arms Warrior,22,-2.23,8.0,24.8,50.3,21.0,-3.82,8.8,836.0,Ruby Life Pools,5,2026-08-18,1440.0,5.14,95.5
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Retribution Paladin,22,-6.1,8.2,18.7,45.1,19.8,-3.82,8.8,988.0,The Blinding Vale,5,2026-08-20,1524.0,4.91,86.4
all,T:Blood DeathKnight | H:Holy Paladin | D:Devastation Evoker | D:Marksmanship Hunter | D:Arms Warrior,21,16.38,10.4,29.6,44.8,31.4,-3.82,8.8,994.0,The Blinding Vale,10,2026-08-19,1285.0,3.29,100.0
all,T:Blood DeathKnight | H:Discipline Priest | D:BeastMastery Hunter | D:Subtlety Rogue | D:Arms Warrior,21,12.01,9.5,31.1,50.3,31.2,-3.82,8.8,836.0,Ruby Life Pools,2,2026-08-19,1326.0,3.43,100.0
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:BeastMastery Hunter | D:Arms Warrior,21,5.7,9.0,27.3,48.3,27.6,-3.82,8.8,994.0,Den of Nalorakk,2,2026-08-18,1344.0,3.24,100.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Enhancement Shaman | D:Arms Warrior,21,4.85,9.5,22.6,47.5,23.5,-3.82,8.8,1009.0,Temple of Sethraliss,2,2026-08-20,1454.0,3.33,95.2
all,T:Blood DeathKnight | H:Discipline Priest | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,21,4.15,9.5,21.4,46.4,21.4,-3.82,8.8,966.0,The Blinding Vale,5,2026-08-19,1415.0,6.38,95.2
all,T:Blood DeathKnight | H:Restoration Shaman | D:BeastMastery Hunter | D:Windwalker Monk | D:Arms Warrior,21,3.85,8.7,27.2,48.2,27.5,-3.82,8.8,994.0,Den of Nalorakk,2,2026-08-19,1289.0,4.05,100.0
all,T:Protection Paladin | H:Discipline Priest | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,21,3.28,7.6,34.9,55.2,34.9,-3.82,8.8,914.0,Murder Row,2,2026-08-19,1186.0,2.33,100.0
all,T:Protection Paladin | H:Holy Paladin | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,21,3.21,10.0,16.6,37.4,17.6,-3.82,8.8,1128.0,Voidscar Arena,10,2026-08-19,1587.0,4.52,85.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Marksmanship Hunter | D:Arcane Mage | D:Arms Warrior,21,1.74,8.9,23.5,48.7,22.1,-3.82,8.8,924.0,The Blinding Vale,5,2026-08-19,1435.0,3.52,90.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Devastation Evoker | D:Arcane Mage | D:Arms Warrior,21,1.2,9.1,20.7,51.9,22.4,-3.82,8.8,809.0,Ruby Life Pools,2,2026-08-19,1500.0,6.19,81.0
all,T:Protection Paladin | H:Restoration Shaman | D:Arcane Mage | D:Windwalker Monk | D:Arms Warrior,21,-0.97,9.0,19.1,47.7,21.7,-3.82,8.8,1004.0,Den of Nalorakk,4,2026-08-18,1363.0,6.81,95.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Arms Warrior | D:Arms Warrior,21,-1.05,9.0,19.3,45.2,22.0,-3.82,8.8,986.0,Altar of Fangs,2,2026-08-19,1518.0,6.48,90.5
all,T:Blood DeathKnight | H:Holy Paladin | D:Havoc DemonHunter | D:Arcane Mage | D:Arms Warrior,21,-1.12,9.2,17.4,42.1,17.4,-3.82,8.8,1111.0,Temple of Sethraliss,7,2026-08-18,1522.0,6.1,95.2
